season,stat,n,n_dropped_new_side,n_dropped_old_side,mae_old_projectpy,mae_new_ridge,ridge_alpha
2021,passing_yards,607,61,358,68.1188,64.66,316.22776601683796
2022,passing_yards,601,59,389,63.3586,60.442,177.82794100389228
2023,passing_yards,637,52,356,67.5734,64.0952,177.82794100389228
2024,passing_yards,630,52,404,69.0597,62.2261,177.82794100389228
2025,passing_yards,632,46,378,67.205,61.3207,316.22776601683796
