season,model,n,games,brier,logloss,auc,top1
2021,old,5971,272,0.1409521466173644,0.4454182200275841,0.7006308888504126,0.47794117647058826
2021,shuf,5971,272,0.15432798722388819,0.48985080516824864,0.4705995392401322,0.1948529411764706
2021,new,5971,272,0.1433837347427985,0.45250209670442837,0.6866261268563745,0.3860294117647059
2022,old,5918,271,0.13489298381339923,0.43057872726831825,0.7029681058670472,0.42066420664206644
2022,shuf,5918,271,0.14686347982419765,0.4714566647264893,0.46510102355910155,0.24723247232472326
2022,new,5918,271,0.13698371213900346,0.4374464650515598,0.6932970986096525,0.3874538745387454
2023,old,5891,272,0.13251407627632575,0.42602215112943953,0.7150422482564602,0.4411764705882353
2023,shuf,5891,272,0.14779662521401438,0.4739115068510303,0.44553978418469226,0.20955882352941177
2023,new,5891,272,0.13347869190470926,0.4272704158551735,0.7118800720040133,0.41544117647058826
2024,old,5932,272,0.1358887001170494,0.4303427213891625,0.7342658692093125,0.5110294117647058
2024,shuf,5932,272,0.15422001049875547,0.48952483289826887,0.49620391132957353,0.24632352941176472
2024,new,5932,272,0.13667726156375082,0.4316024769363253,0.7299489498274183,0.4375
2025,old,6095,272,0.13278285818780525,0.42284655341417904,0.7325520175446238,0.4117647058823529
2025,shuf,6095,272,0.15000276790239556,0.4796823498491833,0.47003029365902105,0.1875
2025,new,6095,272,0.1325612201901251,0.4206073487903292,0.7367828213973557,0.4264705882352941
